time,gFx,gFy,gFz,TgF
0.002000,-0.0484,0.4771,0.8922,1.013
0.002000,-0.0511,0.4769,0.8909,1.012
0.002000,-0.0511,0.4778,0.8885,1.010
0.003000,-0.0508,0.4798,0.8863,1.009
0.010000,-0.0506,0.4808,0.8841,1.008
0.013000,-0.0496,0.4810,0.8834,1.007
0.017000,-0.0493,0.4810,0.8853,1.009
0.023000,-0.0489,0.4813,0.8878,1.011
0.027000,-0.0471,0.4813,0.8897,1.013
0.032000,-0.0457,0.4803,0.8919,1.014
0.037000,-0.0450,0.4786,0.8931,1.014
0.042000,-0.0428,0.4756,0.8922,1.012
0.047000,-0.0413,0.4744,0.8905,1.010
0.052000,-0.0406,0.4730,0.8900,1.009
0.057000,-0.0384,0.4712,0.8907,1.008
0.062000,-0.0352,0.4720,0.8922,1.010
0.066000,-0.0305,0.4734,0.8934,1.012
0.071000,-0.0261,0.4732,0.8936,1.012
0.076000,-0.0230,0.4727,0.8949,1.012
0.081000,-0.0213,0.4712,0.8968,1.013
0.086000,-0.0210,0.4690,0.9007,1.016
0.092000,-0.0232,0.4668,0.9068,1.020
0.095000,-0.0252,0.4642,0.9122,1.024
0.100000,-0.0252,0.4625,0.9146,1.025
0.105000,-0.0242,0.4612,0.9151,1.025
0.110000,-0.0215,0.4607,0.9139,1.024
0.115000,-0.0178,0.4607,0.9120,1.022
0.119000,-0.0151,0.4603,0.9105,1.020
0.124000,-0.0122,0.4600,0.9085,1.018
0.129000,-0.0098,0.4612,0.9068,1.017
0.134000,-0.0071,0.4620,0.9051,1.016
0.138000,-0.0049,0.4625,0.9046,1.016
0.143000,-0.0042,0.4625,0.9051,1.016
0.148000,-0.0049,0.4610,0.9080,1.018
0.154000,-0.0054,0.4598,0.9124,1.022
0.158000,-0.0061,0.4593,0.9164,1.025
0.163000,-0.0066,0.4583,0.9186,1.027
0.167000,-0.0054,0.4578,0.9190,1.027
0.173000,-0.0051,0.4571,0.9205,1.028
0.178000,-0.0044,0.4576,0.9234,1.031
0.182000,-0.0029,0.4593,0.9261,1.034
0.190000,-0.0010,0.4600,0.9273,1.035
0.196000,0.0020,0.4600,0.9281,1.036
0.198000,0.0039,0.4605,0.9293,1.037
0.202000,0.0054,0.4612,0.9303,1.038
0.206000,0.0071,0.4615,0.9305,1.039
0.211000,0.0078,0.4612,0.9303,1.038
0.216000,0.0071,0.4600,0.9295,1.037
0.221000,0.0059,0.4583,0.9281,1.035
0.226000,0.0044,0.4571,0.9273,1.034
0.230000,0.0039,0.4559,0.9271,1.033
0.235000,0.0051,0.4551,0.9244,1.030
0.241000,0.0064,0.4541,0.9208,1.027
0.245000,0.0076,0.4532,0.9176,1.023
0.250000,0.0103,0.4529,0.9146,1.021
0.255000,0.0117,0.4529,0.9124,1.019
0.260000,0.0125,0.4524,0.9107,1.017
0.264000,0.0137,0.4512,0.9093,1.015
0.269000,0.0154,0.4512,0.9085,1.015
0.275000,0.0151,0.4519,0.9080,1.014
0.279000,0.0149,0.4522,0.9068,1.013
0.284000,0.0142,0.4524,0.9056,1.012
0.289000,0.0132,0.4522,0.9054,1.012
0.293000,0.0122,0.4505,0.9049,1.011
0.299000,0.0093,0.4488,0.9054,1.011
0.303000,0.0078,0.4480,0.9078,1.012
0.309000,0.0078,0.4480,0.9102,1.015
0.313000,0.0078,0.4490,0.9112,1.016
0.318000,0.0076,0.4500,0.9117,1.017
0.323000,0.0076,0.4495,0.9115,1.016
0.328000,0.0076,0.4497,0.9110,1.016
0.332000,0.0068,0.4500,0.9110,1.016
0.338000,0.0056,0.4495,0.9093,1.014
0.343000,0.0044,0.4493,0.9073,1.012
0.347000,0.0046,0.4500,0.9066,1.012
0.352000,0.0046,0.4510,0.9039,1.010
0.358000,0.0042,0.4515,0.9010,1.008
0.362000,0.0049,0.4524,0.8988,1.006
0.366000,0.0049,0.4529,0.8956,1.004
0.373000,0.0054,0.4522,0.8927,1.001
0.377000,0.0051,0.4510,0.8907,0.998
0.382000,0.0051,0.4512,0.8914,0.999
0.386000,0.0051,0.4522,0.8919,1.000
0.391000,0.0049,0.4522,0.8929,1.001
0.396000,0.0044,0.4524,0.8944,1.002
0.401000,0.0037,0.4537,0.8951,1.004
0.405000,0.0034,0.4541,0.8973,1.006
0.410000,0.0022,0.4534,0.8993,1.007
0.415000,0.0012,0.4529,0.9022,1.009
0.420000,0.0010,0.4529,0.9076,1.014
0.425000,-0.0005,0.4541,0.9127,1.019
0.429000,-0.0022,0.4546,0.9156,1.022
0.434000,-0.0022,0.4539,0.9176,1.024
0.439000,-0.0020,0.4534,0.9190,1.025
0.444000,-0.0024,0.4527,0.9208,1.026
0.449000,-0.0020,0.4522,0.9210,1.026
0.454000,0.0002,0.4524,0.9210,1.026
0.459000,0.0037,0.4519,0.9234,1.028
0.463000,0.0071,0.4517,0.9251,1.030
0.468000,0.0090,0.4517,0.9242,1.029
0.473000,0.0125,0.4512,0.9222,1.027
0.478000,0.0164,0.4500,0.9195,1.024
0.484000,0.0193,0.4471,0.9161,1.020
0.488000,0.0217,0.4458,0.9154,1.018
0.493000,0.0249,0.4456,0.9159,1.019
0.498000,0.0278,0.4444,0.9161,1.019
0.504000,0.0291,0.4432,0.9173,1.019
0.531000,0.0286,0.4436,0.9190,1.021
0.532000,0.0276,0.4439,0.9203,1.022
0.532000,0.0278,0.4427,0.9212,1.022
0.532000,0.0286,0.4414,0.9239,1.024
0.532000,0.0274,0.4402,0.9273,1.027
0.533000,0.0247,0.4390,0.9281,1.027
0.538000,0.0205,0.4373,0.9278,1.026
0.543000,0.0156,0.4348,0.9286,1.025
0.547000,0.0147,0.4336,0.9300,1.026
0.551000,0.0181,0.4336,0.9330,1.029
0.556000,0.0220,0.4334,0.9359,1.032
0.561000,0.0249,0.4336,0.9357,1.032
0.566000,0.0274,0.4339,0.9344,1.031
0.571000,0.0298,0.4339,0.9330,1.029
0.576000,0.0332,0.4319,0.9300,1.026
0.580000,0.0366,0.4302,0.9276,1.023
0.585000,0.0388,0.4297,0.9249,1.021
0.594000,0.0408,0.4285,0.9229,1.018
0.595000,0.0423,0.4278,0.9217,1.017
0.601000,0.0445,0.4278,0.9190,1.015
0.609000,0.0459,0.4278,0.9173,1.013
0.609000,0.0462,0.4283,0.9181,1.014
0.614000,0.0484,0.4285,0.9208,1.017
0.619000,0.0498,0.4292,0.9220,1.018
0.624000,0.0496,0.4302,0.9220,1.019
0.632000,0.0467,0.4302,0.9225,1.019
0.634000,0.0442,0.4287,0.9247,1.020
0.638000,0.0435,0.4273,0.9271,1.022
0.644000,0.0403,0.4261,0.9291,1.023
