
time,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Gain,
0.0990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,
0.0990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,
0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,
0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,
0.1370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,
0.1370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,
0.1830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,
0.1830,0.0000,0.0000,0.0000,0.0147,-0.0122,-0.0402,0.0000,0.0000,0.0000,-∞,
0.1840,0.0000,0.0000,0.0000,0.0147,-0.0122,-0.0402,0.0000,0.0000,0.0000,-∞,
0.2030,0.0000,0.0000,0.0000,0.0147,-0.0122,-0.0402,0.0000,0.0000,0.0000,-∞,
0.2030,0.0000,0.0000,0.0000,0.0147,-0.0122,-0.0402,0.0000,0.0000,0.0000,-∞,
0.2040,0.0000,0.0000,0.0000,0.0147,-0.0122,-0.0402,0.0000,0.0000,0.0000,-∞,
0.2520,0.0000,0.0000,0.0000,0.0062,-0.0308,-0.0516,0.0000,0.0000,0.0000,-∞,
0.2530,0.0000,0.0000,0.0000,0.0062,-0.0308,-0.0516,0.0000,0.0000,0.0000,-∞,
0.2540,0.0000,0.0000,0.0000,0.0062,-0.0308,-0.0516,0.0000,0.0000,0.0000,-∞,
0.2700,0.0000,0.0000,0.0000,0.0062,-0.0308,-0.0516,0.0000,0.0000,0.0000,-∞,
0.2710,0.0000,0.0000,0.0000,0.0062,-0.0308,-0.0516,233.7806,-23.6998,-3.4493,-∞,
0.2720,-0.0331,-0.0022,0.0760,0.0062,-0.0308,-0.0516,233.7806,-23.6998,-3.4493,-∞,
0.2920,-0.0331,-0.0022,0.0760,0.0062,-0.0308,-0.0516,233.7806,-23.6998,-3.4493,-∞,
0.3190,-0.0331,-0.0022,0.0760,0.0062,-0.0308,-0.0516,233.7806,-23.6998,-3.4493,-∞,
0.3200,-0.0331,-0.0022,0.0760,-0.0301,-0.0086,-0.0384,233.7806,-23.6998,-3.4493,-∞,
0.3390,-0.0331,-0.0022,0.0760,-0.0301,-0.0086,-0.0384,233.3139,-23.4701,-3.6149,-∞,
